Date	Time	Barcode	Cycle	Info	
9/14/2017	06:43:04.255	CB1C1ANXX	21	Start chemistry	
9/14/2017	06:47:21.772	CB1C1ANXX	21	End chemistry	
9/14/2017	06:58:50.236	CB1C1ANXX	21	Start Imaging	
9/14/2017	07:13:10.519	CB1C1ANXX	21	End Imaging	
9/14/2017	07:13:10.991	CB1C1ANXX	22	Start chemistry	
9/14/2017	07:17:29.418	CB1C1ANXX	22	End chemistry	
9/14/2017	07:28:58.724	CB1C1ANXX	22	Start Imaging	
9/14/2017	07:43:15.652	CB1C1ANXX	22	End Imaging	
9/14/2017	07:43:16.202	CB1C1ANXX	23	Start chemistry	
9/14/2017	07:47:32.769	CB1C1ANXX	23	End chemistry	
9/14/2017	07:59:06.852	CB1C1ANXX	23	Start Imaging	
9/14/2017	08:13:37.207	CB1C1ANXX	23	End Imaging	
9/14/2017	08:13:37.806	CB1C1ANXX	24	Start chemistry	
9/14/2017	08:17:54.114	CB1C1ANXX	24	End chemistry	
9/14/2017	08:29:32.520	CB1C1ANXX	24	Start Imaging	
9/14/2017	08:43:59.097	CB1C1ANXX	24	End Imaging	
9/14/2017	08:43:59.777	CB1C1ANXX	25	Start chemistry	
9/14/2017	08:48:16.564	CB1C1ANXX	25	End chemistry	
9/14/2017	08:59:53.440	CB1C1ANXX	25	Start Imaging	
9/14/2017	09:14:16.780	CB1C1ANXX	25	End Imaging	
9/14/2017	09:14:17.467	CB1C1ANXX	26	Start chemistry	
9/14/2017	09:18:35.263	CB1C1ANXX	26	End chemistry	
9/14/2017	09:30:13.412	CB1C1ANXX	26	Start Imaging	
9/14/2017	09:44:49.412	CB1C1ANXX	26	End Imaging	
9/14/2017	09:44:50.456	CB1C1ANXX	27	Start chemistry	
9/14/2017	09:49:06.248	CB1C1ANXX	27	End chemistry	
9/14/2017	10:01:21.070	CB1C1ANXX	27	Start Imaging	
9/14/2017	10:16:04.906	CB1C1ANXX	27	End Imaging	
9/14/2017	10:16:06.142	CB1C1ANXX	28	Start chemistry	
9/14/2017	10:20:23.182	CB1C1ANXX	28	End chemistry	
9/14/2017	10:32:59.668	CB1C1ANXX	28	Start Imaging	
9/14/2017	10:48:24.136	CB1C1ANXX	28	End Imaging	
9/14/2017	10:48:25.302	CB1C1ANXX	29	Start chemistry	
9/14/2017	10:52:43.193	CB1C1ANXX	29	End chemistry	
9/14/2017	11:05:40.016	CB1C1ANXX	29	Start Imaging	
9/14/2017	11:21:16.779	CB1C1ANXX	29	End Imaging	
9/14/2017	11:21:18.342	CB1C1ANXX	30	Start chemistry	
9/14/2017	11:25:35.544	CB1C1ANXX	30	End chemistry	
9/14/2017	11:38:21.890	CB1C1ANXX	30	Start Imaging	
9/14/2017	11:53:57.586	CB1C1ANXX	30	End Imaging	
9/14/2017	11:53:59.118	CB1C1ANXX	31	Start chemistry	
9/14/2017	11:58:17.749	CB1C1ANXX	31	End chemistry	
9/14/2017	12:11:22.836	CB1C1ANXX	31	Start Imaging	
9/14/2017	12:27:02.821	CB1C1ANXX	31	End Imaging	
